"","Point.Forecast","Lo.68","Hi.68","Lo.95","Hi.95"
"2011 Q2",1.04784686926945,1.04373049505398,1.05196324348493,1.03973396137718,1.05595977716172
"2011 Q3",1.04462377954624,1.04024214333076,1.04900541576172,1.03598807026111,1.05325948883137
"2011 Q4",1.04565577770694,1.04100130773835,1.05031024767554,1.03648234396019,1.0548292114537
"2012 Q1",1.0460114837374,1.04109498493154,1.05092798254325,1.03632162079579,1.05570134667901
"2012 Q2",1.04586232428877,1.04069295336521,1.05103169521234,1.03567407901064,1.05605056956691
"2012 Q3",1.04268396121364,1.03728364099086,1.04808428143642,1.0320405409941,1.05332738143317
"2012 Q4",1.0437519669373,1.03810447557374,1.04939945830086,1.03262140036182,1.05488253351277
"2013 Q1",1.04414423868835,1.03825756312038,1.05003091425632,1.03254226710495,1.05574621027176
"2013 Q2",1.04403184331456,1.03791282330499,1.05015086332413,1.03197194712194,1.05609173950718
"2013 Q3",1.04089473467416,1.03456568316739,1.04722378618092,1.02842089016148,1.05336857918683
"2013 Q4",1.04199595262658,1.0354349456386,1.04855695961456,1.02906495010162,1.05492695515155
"2014 Q1",1.04242195143319,1.03563601650584,1.04920788636053,1.02904764138589,1.05579626148048
"2014 Q2",1.04234346607052,1.03533856500207,1.04934836713898,1.02853759853079,1.05614933361025
"2014 Q3",1.03924440920591,1.03204424333532,1.04644457507649,1.02505369683153,1.05343512158028
"2014 Q4",1.04037626105992,1.03295436991766,1.04779815220218,1.02574855325891,1.05500396886093
"2015 Q1",1.04083336862788,1.03319651986216,1.04847021739359,1.02578200366924,1.05588473358651
"2015 Q2",1.04078616077893,1.03294001471039,1.04863230684747,1.02532229451429,1.05625002704357
"2015 Q3",1.03772220165954,1.02969222871863,1.04575217460046,1.02189603342583,1.05354836989326
"2015 Q4",1.03888230924832,1.03063809910012,1.04712651939651,1.02263390371576,1.05513071478088
"2016 Q1",1.0393681105465,1.03091648734155,1.04781973375146,1.02271091734376,1.05602530374924
"2016 Q2",1.03934975207954,1.03069634628388,1.0480031578752,1.02229486821823,1.05640463594085
"2016 Q3",1.03631816600174,1.02749037399573,1.04514595800775,1.01891958664818,1.05371674535529
"2016 Q4",1.03750433577997,1.02846814248096,1.04654052907898,1.01969502105441,1.05531365050553
"2017 Q1",1.03801660326063,1.02877904875779,1.04725415776346,1.01981042838237,1.05622277813888
"2017 Q2",1.03802485454432,1.0285916807177,1.04745802837094,1.01943313610933,1.05661657297931
"2017 Q3",1.03502312832828,1.02542371886792,1.04462253778864,1.01610377826548,1.05394247839108
"2017 Q4",1.03623333703969,1.02643029945553,1.04603637462384,1.01691265898138,1.05555401509799
"2018 Q1",1.03677001608374,1.02677069206344,1.04676934010404,1.01706247966573,1.05647755250175
"2018 Q2",1.03680281135352,1.02661313231123,1.04699249039582,1.01672010672208,1.05688551598497
"2018 Q3",1.03382862692226,1.02347997993509,1.04417727390943,1.01343261445555,1.05422463938897
"2018 Q4",1.03506100837972,1.02451278689675,1.04560922986269,1.01427165715969,1.05585035959974
"2019 Q1",1.03562020387202,1.02488009870347,1.04636030904057,1.01445267161556,1.05678773612848
"2019 Q2",1.03567563773247,1.02474981455042,1.04660146091452,1.01414207628173,1.05720919918322
"2019 Q3",1.03272685696564,1.02164869928311,1.04380501464818,1.01089306144809,1.0545606524832
"2019 Q4",1.03397968985761,1.0227055027411,1.04525387697413,1.01175954250254,1.05619983721268
"2020 Q1",1.03455965380433,1.02309750359363,1.04602180401504,1.01196905245493,1.05715025515374
"2020 Q2",1.03463596877945,1.02299228129477,1.04627965626413,1.01168757800039,1.05758435955851
"2020 Q3",1.03171061954299,1.01992075554859,1.04350048353739,1.00847413140026,1.05494710768572
"2020 Q4",1.03298231618656,1.02099959443509,1.04496503793803,1.00936572722269,1.05659890515043
"2021 Q1",1.03358143629389,1.02141431275651,1.04574855983127,1.00960141227141,1.05756146031637
"2021 Q2",1.0336770113438,1.02133218673439,1.04602183595322,1.00934675861171,1.05800726407589
"2021 Q3",1.03077327460408,1.01828806112675,1.04325848808142,1.00616633129554,1.05538021791262
"2021 Q4",1.03206237057113,1.01938718714684,1.04473755399542,1.00708101798849,1.05704372315377
"2022 Q1",1.03267915971064,1.019822858596,1.04553546082529,1.00734084465021,1.05801747477108
"2022 Q2",1.03279249963983,1.01976206434961,1.04582293493004,1.00711098581918,1.05847401346047
"2022 Q3",1.0299086975782,1.01674336238863,1.04307403276778,1.00396131131718,1.05585608383922
"2022 Q4",1.0312138421269,1.01786120184605,1.04456648240774,1.00489729872084,1.05753038553295
"2023 Q1",1.03184692861871,1.01831623380893,1.04537762342849,1.00517945987949,1.05851439735794
"2023 Q2",1.03197665430647,1.01827517488016,1.04567813373277,1.00497258840898,1.05898072020396
"2023 Q3",1.02911123935648,1.01528010049054,1.04294237822243,1.00185162937186,1.05637084934111
"2023 Q4",1.03043118660559,1.01641522697409,1.0444471462371,1.00280731580089,1.0580550574103
"2024 Q1",1.03107930525591,1.01688817281006,1.04527043770176,1.00311018865147,1.05904842186035
"2024 Q2",1.03122414464525,1.01686539652252,1.04558289276798,1.00292467650407,1.05952361278642
"2024 Q3",1.02837568938092,1.01389230971716,1.04285906904469,0.999830586571964,1.05692079218988
"2024 Q4",1.02970929016931,1.0150434237053,1.04437515663331,1.00080452652186,1.05861405381675
"2025 Q1",1.03037127400367,1.01553296328231,1.04520958472502,1.00112664223364,1.0596159057737
"2025 Q2",1.03053005378976,1.01552714220098,1.04553296537854,1.00096101233138,1.06009909524814
"2025 Q3",1.02769724159885,1.01257454014989,1.04281994304781,0.997892107877904,1.05750237531979
"2025 Q4",1.02904343597689,1.01374045320824,1.04434641874554,0.99888298817011,1.05920388378367
"2026 Q1",1.02971820861525,1.0142453776601,1.04519103957041,0.999223009247833,1.06021340798267
"2026 Q2",1.02988984657911,1.01425529493255,1.04552439822566,0.999075914024448,1.06070377913376
"2026 Q3",1.02707146306043,1.01132179675126,1.0428211293696,0.996030652528702,1.05811227359216
"2026 Q4",1.02842927336438,1.01250141889598,1.04435712783279,0.997037274129271,1.05982127259949
"2027 Q1",1.02911584198809,1.01302061832042,1.04521106565575,0.997393976995756,1.06083770698042
"2027 Q2",1.0292993399254,1.01304515574864,1.04555352410216,0.997264181752888,1.06133449809791
"2027 Q3",1.02649426495402,1.01012948994401,1.04285903996403,0.994241144760335,1.0587473851477
"2027 Q4",1.02786278941798,1.01132181926385,1.04440375957211,0.995262408528229,1.06046317030773
"2028 Q1",1.02856023828274,1.01185427253975,1.04526620402574,0.995634669753335,1.06148580681215
"2028 Q2",1.02875467548166,1.01189240063797,1.04561695032536,0.995521039398059,1.06198831156527
"2028 Q3",1.02596187589002,1.00899339451635,1.04293035726368,0.992518918751011,1.05940483302902
"2028 Q4",1.02734028275387,1.01019750845831,1.04448305704943,0.993553813983617,1.06112675152413
"2029 Q1",1.02804776720633,1.01074227463832,1.04535325977435,0.993940599129437,1.06215493528323
"2029 Q2",1.0282522944316,1.01079304418057,1.04571154468263,0.993842087356121,1.06266250150708
"2029 Q3",1.02547081725886,1.00790961474981,1.0430320197679,0.99085967381671,1.060081960701
"2029 Q4",1.02685833933357,1.00912466266653,1.04459201600062,0.991907268838057,1.06180940982909
"2030 Q1",1.0275750802924,1.00968087357542,1.04546928700937,0.992307623229275,1.06284253735552
"2030 Q2",1.02778891423647,1.0097434082923,1.04583442018064,0.992223263513059,1.06335456495987
"2030 Q3",1.02501788050192,1.00687455433266,1.04316120667117,0.989259437181295,1.06077632382254
"2030 Q4",1.02641381015678,1.00809975101292,1.04472786930064,0.99031887145827,1.06250874885529
"2031 Q1",1.02713908902217,1.00866660479305,1.0456115732513,0.990731912403275,1.06354626564107
